lip placement,tongue use,adapt,gender,normalized gender,(detail),A_AB
both,less than half,mix,man,man,,
both,more than half,mix,woman,woman,,
both,less than half,follow, ,unspecified,,
both,less than half,mix,male,man,,
both,less than half,mix,Male,man,,
both,barely any,mix,F,woman,,
both,lots,lead,Male,man,,
both,less than half,mix,Male,man,,
both,more than half,mix,none,misc,,
both,less than half,mix,agender,misc,agender,
both,less than half,mix,Female,woman,,
both,barely any,follow,male,man,,
both,more than half,mix,female,woman,,
both,barely any,lead, ,unspecified,,
both,less than half,follow,Male (cis),man,,M
both,less than half,follow,Male,man,,
both,more than half,mix,male,man,,
both,more than half,mix,man,man,,
both,,mix,she/they,misc,nb-femme,
both,lots,mix,non-binary,misc,nb,
both,less than half,mix,male,man,,
both,less than half,mix,female,woman,,
both,less than half,lead,Male,man,,
both,less than half,follow,boy,man,,
both,less than half,mix,Male,man,,
both,more than half,follow,male,man,,
both,less than half,follow,Man married to a woman,man,,
both,more than half,mix,Cis woman,woman,,F
both,more than half,lead,Male,man,,
both,barely any,follow,woman,woman,,
both,less than half,mix,f,woman,,
both,less than half,mix,Male,man,,
both,more than half,mix,Kinda cis female but ugh why do we have genders in the first place,woman,nb-femme,F
both,more than half,follow,male,man,,
both,lots,mix,Male,man,,
both,more than half,mix,Female,woman,,
both,less than half,mix,Male,man,,
both,lots,follow,human,misc,,
both,more than half,mix,Male,man,,
both,more than half,mix,female,woman,,
both,less than half,mix,bigender/genderfluid,misc,,
both,lots,mix,F,woman,,
both,more than half,mix,Male,man,,
both,more than half,mix,agender,misc,agender,
both,less than half,mix,Cf,woman,,F
both,more than half,follow,Male ,man,,
both,more than half,mix,n/a,misc,,
both,less than half,mix,Femme,woman,nb-femme,
matchy,more than half,mix,"nonbinary, gender fluid, or anything else that fits into ""I don't wanna pick one of those binary options"", man",misc,nb-masc,
matchy,more than half,follow,woman,woman,,
matchy,less than half,mix,man,man,,
matchy,less than half,follow,Female,woman,,
matchy,more than half,mix,female,woman,,
matchy,more than half,mix,Male,man,,
matchy,barely any,lead,Male,man,,
matchy,more than half,mix,Male,man,,
matchy,lots,mix,Male,man,,
matchy,less than half,mix,Cis Male,man,,M
matchy,less than half,mix,M,man,,
matchy,more than half,mix,Male,man,,
matchy,less than half,mix,female,woman,,
matchy,less than half,mix,Female,woman,,
matchy,more than half,mix,female,woman,,
matchy,more than half,mix,female,woman,,
matchy,more than half,follow,male,man,,
matchy,less than half,mix,Genderqueer,misc,,
matchy,more than half,follow,Male,man,,
matchy,less than half,mix,male,man,,
matchy,less than half,follow,female,woman,,
matchy,less than half,follow,female,woman,,
matchy,less than half,follow,Male,man,,
matchy,lots,follow,Male,man,,
matchy,more than half,mix,male,man,,
matchy,less than half,mix,Non binary,misc,nb,
matchy,less than half,follow,Male,man,,
matchy,barely any,mix,she/hers,woman,,
matchy,less than half,mix,Male,man,,
matchy,less than half,mix,Female,woman,,
matchy,less than half,follow,Male,man,,
matchy,lots,mix,M,man,,
matchy,less than half,mix,female,woman,,
matchy,less than half,mix,M,man,,
matchy,barely any,mix,bi,misc,nb,
matchy,less than half,follow,cis male,man,,M
matchy,more than half,mix,Female,woman,,
matchy,more than half,follow,M,man,,
matchy,,follow,Male,man,,
matchy,barely any,mix,Yes,misc,,
matchy,more than half,mix,female,woman,,
matchy,more than half,follow,female,woman,,
matchy,more than half,follow,male,man,,
matchy,more than half,follow, ,unspecified,,
wrappy,more than half,follow,"woman, nonbinary, gender fluid, or anything else that fits into ""I don't wanna pick one of those binary options""",misc,nb-femme,
wrappy,more than half,mix,woman,woman,,
wrappy,barely any,mix,woman,woman,,
wrappy,lots,lead,man,man,,
wrappy,more than half,mix,male,man,,
wrappy,more than half,mix,Female she/her,woman,,
wrappy,more than half,mix,Agender,misc,agender,
wrappy,more than half,mix,Male,man,,
wrappy,less than half,mix, ,unspecified,,
wrappy,less than half,mix,cis woman,woman,,F
wrappy,less than half,mix,male,man,,
wrappy,more than half,mix,female,woman,,
wrappy,less than half,follow,Female,woman,,
wrappy,more than half,mix,Male,man,,
wrappy,barely any,mix,M,man,,
wrappy,less than half,mix,Female,woman,,
wrappy,barely any,follow, ,unspecified,,
wrappy,barely any,lead,Female,woman,,
wrappy,lots,mix,Afab but questioning ,misc,nb-femme,F
wrappy,more than half,mix,male,man,,
wrappy,barely any,mix,¯\_(ツ)_/¯,misc,nb,
wrappy,less than half,follow, ,unspecified,,
wrappy,lots,mix,male,man,,
wrappy,barely any,follow,male,man,,
wrappy,less than half,,woman,woman,,
wrappy,less than half,follow,identify as a woman,woman,,
wrappy,less than half,mix,Male,man,,
wrappy,barely any,lead,Female,woman,,
wrappy,more than half,mix, ,unspecified,,
wrappy,less than half,mix,Female,woman,,
wrappy,more than half,mix,female,woman,,
wrappy,less than half,mix,woman,woman,,
wrappy,less than half,follow,Female,woman,,
wrappy,more than half,follow,woman,woman,,
wrappy,less than half,lead,woman,woman,,
wrappy,less than half,mix,male,man,,
wrappy,barely any,lead,Male,man,,
wrappy,less than half,mix,M,man,,
wrappy,less than half,mix,male,man,,
wrappy,more than half,follow, ,unspecified,,
wrappy,less than half,follow,Woman,woman,,
wrappy,more than half,mix,non-binary,misc,nb,
wrappy,less than half,mix,Male,man,,
wrappy,less than half,mix,Male,man,,
wrappy,less than half,follow,male,man,,
wrappy,less than half,mix,Woman,woman,,
wrappy,more than half,lead,male,man,,
wrappy,more than half,follow,male,man,,
wrappy,less than half,follow,female,woman,,
wrappy,lots,mix,Male,man,,
wrappy,more than half,follow,Female ,woman,,
wrappy,less than half,mix,m,man,,
wrappy,more than half,mix,F,woman,,
wrappy,more than half,lead,male,man,,
wrappy,more than half,mix,Woman,woman,,
wrappy,lots,mix,female,woman,,
wrappy,barely any,mix,woman,woman,,
wrappy,less than half,, ,unspecified,,
wrappy,barely any,follow,Agender,misc,agender,
wrappy,barely any,mix,female ,woman,,
wrappy,barely any,mix,female,woman,,
wrappy,less than half,follow,Female,woman,,
wrappy,less than half,mix,Male,man,,
wrappy,more than half,mix,Female,woman,,
wrappy,less than half,mix, ,unspecified,,
wrappy,more than half,lead,Female,woman,,
wrappy,less than half,follow,nonbinary,,,
wrappy,more than half,mix,female,woman,,
wrappy,less than half,follow, ,unspecified,,
wrappy,more than half,mix,agender,misc,agender,
wrappy,less than half,lead,Male,man,,
wrappy,less than half,follow,femme,woman,nb-femme,
wrappy,more than half,mix,male,man,,
wrappy,barely any,mix,cis woman,woman,,F
wrappy,lots,mix,Female ,woman,,
wrappy,more than half,follow,girl,woman,,
wrappy,more than half,mix,cis male,man,,M
wrappy,more than half,mix,male,man,,
wrappy,more than half,mix,Queer femme,woman,nb-femme,
wrappy,more than half,mix,No,misc,,
wrappy,lots,lead,Genderqueer,misc,,
wrappy,,mix,Male,man,,
wrappy,less than half,mix,Male,man,,
wrappy,less than half,mix,Female,woman,,
wrappy,less than half,mix,Woman,woman,,
wrappy,lots,mix,Male,man,,
wrappy,more than half,lead,Female,woman,,
wrappy,more than half,mix,Female,woman,,
wrappy,more than half,follow,Male,man,,
wrappy,less than half,mix,woman,woman,,
matchy,more than half,mix,Female ,woman,,
wrappy,barely any,mix,Male,man,,
wrappy,less than half,mix, ,unspecified,,
both,barely any,mix,Male,man,,
both,less than half,mix,Female,woman,,
both,more than half,mix,Male ,man,,
wrappy,more than half,mix,male,man,,
wrappy,less than half,mix,nb,misc,nb,
wrappy,more than half,lead,woman,woman,,
wrappy,more than half,follow,male,man,,
both,less than half,lead,Male,man,,
wrappy,less than half,mix, ,unspecified,,
both,less than half,mix,Woman,woman,,
wrappy,less than half,mix,female ,woman,,
matchy,less than half,lead,Female,woman,,
both,less than half,mix,cis woman,woman,,F
wrappy,barely any,lead,Cis woman,woman,,F
wrappy,less than half,lead,F,woman,,
both,more than half,follow,man,man,,
matchy,barely any,mix,agender,misc,agender,
